customerID,churn_probability,top_shap_drivers
5178-LMXOP,0.9229568243026733,"tenure (increases churn risk, 0.718); is_month_to_month (increases churn risk, 0.283); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.197); OnlineSecurity_No (increases churn risk, 0.163)"
0295-PPHDO,0.9157661199569702,"tenure (increases churn risk, 0.719); is_month_to_month (increases churn risk, 0.283); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.197); OnlineSecurity_No (increases churn risk, 0.164)"
1069-XAIEM,0.8948736190795898,"tenure (increases churn risk, 0.742); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.200); OnlineSecurity_No (increases churn risk, 0.170)"
9248-OJYKK,0.8786069750785828,"tenure (increases churn risk, 0.751); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.200); OnlineSecurity_No (increases churn risk, 0.170)"
0970-ETWGE,0.8738260865211487,"tenure (increases churn risk, 0.728); is_month_to_month (increases churn risk, 0.285); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.173); OnlineSecurity_No (increases churn risk, 0.169)"
6023-YEBUP,0.872577428817749,"tenure (increases churn risk, 0.394); month_to_month_fiber (increases churn risk, 0.284); is_month_to_month (increases churn risk, 0.270); paperless_echeck (increases churn risk, 0.206); avg_total_charge_per_month (increases churn risk, 0.186)"
3722-WPXTK,0.8713275194168091,"tenure (increases churn risk, 0.725); is_month_to_month (increases churn risk, 0.285); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.173); OnlineSecurity_No (increases churn risk, 0.169)"
2609-IAICY,0.8698669672012329,"tenure (increases churn risk, 0.756); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.200); OnlineSecurity_No (increases churn risk, 0.171)"
8884-ADFVN,0.8687536716461182,"month_to_month_fiber (increases churn risk, 0.372); is_month_to_month (increases churn risk, 0.270); tenure (increases churn risk, 0.260); paperless_echeck (increases churn risk, 0.212); MonthlyCharges (increases churn risk, 0.173)"
6861-XWTWQ,0.8678767681121826,"month_to_month_fiber (increases churn risk, 0.372); is_month_to_month (increases churn risk, 0.279); tenure (increases churn risk, 0.270); paperless_echeck (increases churn risk, 0.212); OnlineSecurity_No (increases churn risk, 0.163)"
4415-IJZTP,0.8623358011245728,"tenure (increases churn risk, 0.748); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.200); OnlineSecurity_No (increases churn risk, 0.171)"
7180-PISOG,0.8592768907546997,"tenure (increases churn risk, 0.751); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.196); OnlineSecurity_No (increases churn risk, 0.171)"
6230-BSUXY,0.8581557273864746,"tenure (increases churn risk, 0.743); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.175); OnlineSecurity_No (increases churn risk, 0.168)"
1400-MMYXY,0.858124315738678,"tenure (increases churn risk, 0.399); month_to_month_fiber (increases churn risk, 0.284); is_month_to_month (increases churn risk, 0.270); paperless_echeck (increases churn risk, 0.199); MonthlyCharges (increases churn risk, 0.179)"
6857-VWJDT,0.8568665385246277,"tenure (increases churn risk, 0.737); month_to_month_fiber (increases churn risk, 0.279); is_month_to_month (increases churn risk, 0.269); tenure_inverse (increases churn risk, 0.171); OnlineSecurity_No (increases churn risk, 0.165)"
9057-SIHCH,0.8562717437744141,"tenure (increases churn risk, 0.410); month_to_month_fiber (increases churn risk, 0.284); is_month_to_month (increases churn risk, 0.279); paperless_echeck (increases churn risk, 0.206); OnlineSecurity_No (increases churn risk, 0.173)"
2202-CUYXZ,0.8493943810462952,"tenure (increases churn risk, 0.738); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.175); OnlineSecurity_No (increases churn risk, 0.169)"
8161-QYMTT,0.8450502753257751,"month_to_month_fiber (increases churn risk, 0.372); is_month_to_month (increases churn risk, 0.279); tenure (increases churn risk, 0.235); paperless_echeck (increases churn risk, 0.212); OnlineSecurity_No (increases churn risk, 0.164)"
2514-GINMM,0.8393261432647705,"tenure (increases churn risk, 0.752); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.175); OnlineSecurity_No (increases churn risk, 0.169)"
5167-ZFFMM,0.8376112580299377,"tenure (increases churn risk, 0.781); month_to_month_fiber (increases churn risk, 0.279); is_month_to_month (increases churn risk, 0.272); OnlineSecurity_No (increases churn risk, 0.174); tenure_inverse (increases churn risk, 0.173)"
1628-BIZYP,0.8363547325134277,"tenure (increases churn risk, 0.748); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); OnlineSecurity_No (increases churn risk, 0.169); paperless_echeck (increases churn risk, 0.169)"
7181-BQYBV,0.8354584574699402,"tenure (increases churn risk, 0.635); month_to_month_fiber (increases churn risk, 0.276); is_month_to_month (increases churn risk, 0.274); OnlineSecurity_No (decreases churn risk, -0.262); paperless_echeck (increases churn risk, 0.190)"
7409-KIUTL,0.8319301009178162,"tenure (increases churn risk, 0.756); is_month_to_month (increases churn risk, 0.287); month_to_month_fiber (increases churn risk, 0.276); paperless_echeck (increases churn risk, 0.172); OnlineSecurity_No (increases churn risk, 0.168)"
